Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CASM,Sacramento,38.6,-121.55,75977,272.319,1996,
CAPV,Peace Valley,39.1982,-121.8219,57940,804.7222,1996,
NCMA,Mattamuskeet N.W.R.,35.45,-76.1333,18338,269.6765,1996,
DECH,Cape Henlopen-Prime Hook,38.8072,-75.1878,17000,286.9198,1996,
TXPA,Port Aransas,27.8502,-97.1,10140,126.75,1996,
ORSI,Sauvie Island,45.7562,-122.8008,7815,91.9412,1996,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,6516,48.0886,1996,
ORCV,Coquille Valley,43.115,-124.2983,6318,49.9447,1996,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,6074,52.3621,1996,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,5536,33.5515,1996,
WAPB,Padilla Bay,48.4834,-122.5667,5230,47.3303,1996,
CASS,Salton Sea (south),33.1579,-115.6132,5150,99.0385,1996,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,5095,62.3242,1996,
LACW,Crowley,30.1107,-92.3619,4603,28.3262,1996,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,4364,37.7019,1996,
WASD,Sequim-Dungeness,48.1,-123.0667,4253,29.1301,1996,
ORFG,Forest Grove,45.4851,-123.1269,4229,102.5212,1996,
WATR,Two Rivers,46.0833,-118.6167,3745,94.2138,1996,
TXLU,Lubbock County,33.5849,-101.7925,3732,63.2542,1996,
LAPP,Pine Prairie,30.7643,-92.3765,3653,45.0988,1996,
WASB,Skagit Bay,48.2973,-122.3879,3482,36.2708,1996,
CABE,Benicia,38.1143,-122.1094,3272,18.5909,1996,
WABG,Bellingham,48.8112,-122.5629,3245,14.8174,1996,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,3213,26.5537,1996,
CAST,Stockton,38.116,-121.3954,3105,23.2584,1996,
TXCY,Cypress Creek,29.9561,-95.89,2932,55.8476,1996,
NMRO,Roswell,33.397,-104.3983,2862,43.2,1996,
