,�..Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
1,CAPV,Peace Valley,39.1982,-121.8219,330310,3130.9005,1980,#N/A
2,ORSI,Sauvie Island,45.7562,-122.8008,32000,372.093,1980,#N/A
3,TXPA,Port Aransas,27.8502,-97.1,23753,342.7561,1980,#N/A
4,BC02,Ladner,49.0667,-123.05,23647,181.2031,1980,#N/A
5,WABG,Bellingham,48.8112,-122.5629,17775,99.3017,1980,#N/A
6,NMRO,Roswell,33.397,-104.3983,15002,197.3947,1980,#N/A
7,CASL,San Jacinto Lake,33.8745,-117.1239,12928,680.4211,1980,#N/A
8,CASM,Sacramento,38.6,-121.55,11906,46.1831,1980,#N/A
9,CA2L,Point Reyes Peninsula,38.1333,-122.8833,11087,40.9871,1980,#N/A
10,TX1E,Padre Island National Seashore,27.3333,-97.3333,8290,95.2874,1980,#N/A
11,BCWR,White Rock,49.062,-122.7289,8235,40.3676,1980,#N/A
12,ORCB,Coos Bay,43.3759,-124.2973,8101,80.607,1980,#N/A
13,NCBP,Bodie-Pea Island,35.7824,-75.5458,8080,62.6357,1980,#N/A
14,CAMA,Marysville,39.2,-121.5,6737,673.7,1980,#N/A
15,CAPA,Palo Alto,37.4064,-122.1559,5842,28.0865,1980,#N/A
16,CAAN,Año Nuevo,37.2147,-122.3182,5613,46.1975,1980,#N/A
17,TX14,Laguna Atascosa N.W.R.,26.2333,-97.3833,5588,93.1333,1980,#N/A
18,CAHF,Hayward-Fremont,37.6068,-122.0667,5370,30.339,1980,#N/A
19,TX0L,White River,33.55,-101.15,5295,132.375,1980,#N/A
20,UTSL,Salt Lake City,40.7695,-111.8884,5000,60.9756,1980,#N/A
21,CAMC,Marin County (southern),37.9214,-122.5643,4303,13.8806,1980,#N/A
22,ORCO,Corvallis,44.5071,-123.2695,4266,40.6286,1980,#N/A
23,MDLK,Lower Kent County,39.1427,-76.1921,4174,34.3539,1980,#N/A
24,ORDA,Dallas,44.8965,-123.3384,4145,90.1087,1980,#N/A
25,FLMI,Merritt Island N.W.R.,28.6171,-80.6815,3979,30.845,1980,#N/A
26,UTFS,Fish Springs N.W.R.,39.8107,-113.399,3904,118.303,1980,#N/A
27,CASA,Santa Ana River Valley,33.9068,-117.4889,3740,81.3043,1980,#N/A
28,MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,3396,50.3111,1980,#N/A
29,CACS,Crystal Springs,37.5184,-122.3751,3325,11.5854,1980,#N/A
30,TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,3302,24.7341,1980,#N/A
31,CACB,Centerville Beach to King Salmon,40.642,-124.2428,3220,15.0467,1980,#N/A
32,TXHO,Houston,29.7497,-94.9492,3130,7.3995,1980,#N/A
33,WALP,Leadbetter Point,46.5605,-123.9894,3085,58.2075,1980,#N/A
34,ORSA,Salem,44.9437,-123.0388,2234,16.3663,1980,#N/A
35,CALS,Los Baños,37.0612,-120.8849,1931,23.1257,1980,#N/A
36,CAOC,Orange County (coastal),33.6725,-117.9453,1928,5.6856,1980,#N/A
37,LA0K,Sabine N.W.R.,29.8,-93.45,1928,17.0619,1980,#N/A
38,CAOA,Oakland,37.8146,-122.233,1927,4.9665,1980,#N/A
39,NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,1841,40.4615,1980,#N/A
40,CAPC,Putah Creek,38.481,-122.0306,1734,12.3857,1980,#N/A
41,IDHV,Hagerman Valley,42.8167,-114.9,1730,91.0526,1980,#N/A
42,VABB,Back Bay N.W.R.,36.65,-76,1570,12.2656,1980,#N/A
43,CASD,San Diego,32.6473,-117.117,1520,48.8746,1980,#N/A
44,CAST,Stockton,38.116,-121.3954,1263,20.371,1980,#N/A
45,CASH,Salton Sea (north),33.5179,-116.1031,1150,24.4681,1980,#N/A
46,WA05,Kent-Auburn,47.3333,-122.1667,1148,14.9091,1980,#N/A
47,TX0M,Lubbock County,33.55,-101.75,1114,17.6825,1980,#N/A
48,WAPB,Padilla Bay,48.4834,-122.5667,1057,17.4711,1980,#N/A
49,VACI,Chincoteague N.W.R.,37.9672,-75.3669,1044,5.22,1980,#N/A
50,TXFR,Freeport,29.0172,-95.3551,1027,3.1027,1980,#N/A
51,NMLO,Loving,32.291,-104.0667,972,21.6,1980,#N/A
52,VAWI,Williamsburg,37.2792,-76.6987,950,7.3077,1980,#N/A
53,MDSD,Southern Dorchester County,38.3617,-76.0371,850,6.0714,1980,#N/A
54,BCVA,Vancouver,49.2603,-123.105,842,2.571,1980,#N/A
55,CABE,Benicia,38.1143,-122.1094,806,7.8252,1980,#N/A
