Species_Name
Northern Shoveler

Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,Flags,Editor_Comments
CAPV,Peace Valley,39.1982,-121.8219,89329,1116.6125,,
CASJ,San Jose,37.4033,-121.8821,12008,49.5380,,
TXBP,Bolivar Peninsula,29.5504,-94.4668,11061,178.4032,,
CALS,Los Baños,37.0612,-120.8849,9512,141.9701,,
CAPA,Palo Alto,37.4064,-122.1559,7106,31.4425,,
CAHF,Hayward-Fremont,37.6068,-122.0667,6864,29.0847,,
CASS,Salton Sea (south),33.1579,-115.6132,4980,121.4634,,
CALN,Lancaster,34.7043,-118.0860,4885,111.0227,,
CACC,Contra Costa County,37.9538,-121.9923,4103,29.4544,,
LA0K,Sabine N.W.R.,29.8000,-93.4500,2945,16.2617,,
CA1B,China Lake,35.6167,-117.6667,2500,96.1538,,
CASA,Santa Ana River Valley,33.9068,-117.4889,2124,70.8000,,
TXST,San Antonio,29.3148,-98.6080,2021,16.2984,,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,1852,11.4960,,
TXAU,Austin,30.1834,-97.6980,1765,11.1709,,
CARS,Rancho Santa Fe,33.0003,-117.1628,1694,19.6977,,
TX0M,Lubbock County,33.5500,-101.7500,1680,37.7528,,
NMRO,Roswell,33.3970,-104.3983,1591,28.4107,,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,1531,21.5634,,
ORSI,Sauvie Island,45.7562,-122.8008,1463,17.0116,,
CABB,Big Bear Lake,34.2833,-116.9000,1400,15.3846,,
CABE,Benicia,38.1143,-122.1094,1229,10.1069,,
NCBP,Bodie-Pea Island,35.7824,-75.5458,1200,8.7591,,
TXGA,Galveston,29.3333,-94.8333,1137,11.2574,,
AR07,Pine Bluff,34.2167,-92.0000,1025,25.0000,,
CASH,Salton Sea (north),33.5179,-116.1031,1020,14.5714,,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,786,19.6500,,
TXKI,Kingsville,27.4658,-97.8551,752,16.0000,,
CASM,Sacramento,38.6000,-121.5500,746,3.3513,,
TX14,Laguna Atascosa N.W.R.,26.2333,-97.3833,717,12.8036,,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,656,5.8571,,
UTLO,Logan,41.7993,-111.8333,639,10.3065,,
CAOA,Oakland,37.8146,-122.2330,600,1.4888,,
CAOC,Orange County (coastal),33.6725,-117.9453,584,2.5238,,
COBO,Boulder,40.0256,-105.2725,500,2.7322,,
TX2B,Cypress Creek,29.9167,-95.7500,485,8.2203,,
CA2K,Arroyo Cheap Thrills,38.1333,-122.6167,464,4.2569,,
TX1E,Padre Island National Seashore,27.3333,-97.3333,462,6.2432,,
TXFR,Freeport,29.0172,-95.3551,455,1.2908,,
LAJB,Johnsons Bayou,29.8010,-93.7149,430,6.2319,,
MSWC,Washington County (south),33.0970,-90.9857,429,6.8095,,
CAMD,Moss Landing,36.8970,-121.7407,419,1.9132,,
CA0Y,Ventura,34.3000,-119.2500,416,7.4286,,
CAMA,Marysville,39.2000,-121.5000,392,23.7576,,
WAKA,Kent-Auburn,47.3598,-122.1787,380,4.4186,,
MSAL,Arkabutla Lake,34.7624,-90.1306,367,7.9783,,
WATA,Tacoma,47.2335,-122.5167,352,3.3846,,
TX26,Sea Rim S.P.,29.7667,-94.0333,350,14.0000,,
NMLO,Loving,32.2910,-104.0667,347,12.8519,,
TXMI,Midland,31.9500,-102.0333,342,6.1071,,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,334,4.4533,,
NJOC,Oceanville,39.4422,-74.4605,327,2.7025,,
COBL,Barr Lake,39.9721,-104.6955,300,11.4068,,
MSJA,Jackson,32.4476,-90.0040,300,3.4091,,
TXDA,Dallas County,32.8258,-96.8312,284,0.8606,,
CAHL,Honey Lake,40.3434,-120.4229,269,5.6042,,
AZTV,Tucson Valley,32.3016,-110.9735,264,1.7483,,
NY2R,Lower Hudson,40.7667,-73.9833,264,1.3822,,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,254,2.2183,,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,231,1.6383,,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,223,1.8583,,
FLTA,Tampa,28.0107,-82.4595,200,0.3866,,
TXAR,Aransas N.W.R.,28.2333,-96.8833,169,3.2500,,
CADN,Del Norte County,41.8446,-124.1712,168,1.4237,,
BCDU,Duncan,48.7882,-123.6714,163,4.0750,,
UTBR,Bear River Migratory Bird Refuge,41.4804,-112.2675,161,7.0000,,
CAMR,Morro Bay,35.3000,-120.7767,155,1.9136,,
NY3G,Bronx-Westchester Region,40.9000,-73.7833,153,0.8053,,
TX2M,Lake Conroe,30.4500,-95.6333,153,3.8250,,
TXLS,La Sal Vieja,26.4849,-97.9649,153,2.8868,,
TXPA,Port Aransas,27.8502,-97.1000,152,2.3100,,
AZRC,Ramsey Canyon,31.4599,-110.2068,150,1.0381,,
FLHC,Hamilton County,30.3360,-82.7595,150,13.0435,,
UTOG,Ogden,41.2198,-112.0640,147,1.8261,,
CASB,Santa Barbara,34.4512,-119.7627,147,0.4916,,
CACB,Centerville Beach to King Salmon,40.6420,-124.2428,140,0.8279,,
ORSA,Salem,44.9437,-123.0388,140,1.1382,,
SCSR,Savannah River Site,33.2000,-81.6167,137,3.2235,,
TXCC,Corpus Christi,27.8334,-97.5833,136,2.5468,,
TX0N,Hagerman N.W.R.,33.7167,-96.7333,133,2.2542,,
TX0L,White River,33.5500,-101.1500,130,4.1935,,
CAMC,Marin County (southern),37.9214,-122.5643,130,0.5285,,
NMFA,Farmington,36.7833,-108.1020,117,3.0789,,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,116,0.9789,,
CAAN,Año Nuevo,37.2147,-122.3182,105,0.7955,,
MSHA,Hattiesburg,31.3073,-89.3166,100,1.9231,,
UTPR,Provo,40.2526,-111.6688,100,1.2500,,
WAGH,Grays Harbor,46.9667,-124.0500,98,0.6164,,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,97,1.3472,,
TX2Y,Lake Livingston (upper),30.8667,-95.3167,97,3.9918,,
CA2L,Point Reyes Peninsula,38.1333,-122.8833,97,0.3896,,
WASE,Seattle,47.6017,-122.3341,90,0.7258,,
CA1G,Creighton Ranch Preserve,36.1167,-119.5333,89,1.1294,,
NYQU,L.I.: Queens,40.6932,-73.7448,82,0.7664,,
TNRL,Reelfoot Lake,36.4167,-89.3833,80,1.8605,,
OREU,Eugene,44.0768,-123.1790,80,0.4651,,
TXOR,Old River,29.8776,-94.7263,80,1.7021,,
TXEP,El Paso,31.7828,-106.4798,80,1.2308,,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,80,4.8485,,
COFC,Fort Collins,40.6454,-105.1141,75,1.0067,,
LAPP,Pine Prairie,30.7643,-92.3765,74,1.2231,,
ORME,Medford,42.4026,-122.8559,71,0.5462,,
CASD,San Diego,32.6473,-117.1170,71,0.3916,,
LARB,Reserve-Bonnet Carre Spillway,30.0867,-90.4711,71,0.6201,,
WAOL,Olympia,47.0722,-122.8533,70,0.5243,,
TXHO,Houston,29.7497,-94.9492,70,0.1972,,
FLGA,Gainesville,29.6027,-82.3127,70,0.7292,,
CASG,Santa Maria-Guadalupe,34.8833,-120.5833,69,0.7188,,
BCVA,Vancouver,49.2603,-123.1050,69,0.1855,,
ORKF,Klamath Falls,42.1595,-121.7351,68,1.4468,,
TXSG,San Angelo,31.4439,-100.4823,68,1.4783,,
CATO,Thousand Oaks,34.1489,-118.9699,67,1.2885,,
BCVI,Victoria,48.4667,-123.4000,67,0.3493,,
NVTM,Truckee Meadows,39.4679,-119.8205,67,1.1167,,
WIMA,Madison,43.0747,-89.3843,67,0.3317,,
TXRU,Ruidosa,29.9500,-104.6667,65,1.8678,,
CACL,Clear Lake,38.9392,-122.7199,64,0.7111,,
CAON,Orange County (northeastern),33.7145,-117.6776,62,0.2967,,
NYCA,L.I.: Captree,40.7038,-73.2493,62,0.3827,,
CACO,Chico,39.7220,-121.8238,62,0.7702,,
CASE,South Lake Tahoe,38.9412,-120.0010,61,1.9063,,
FLMR,Myakka River S.P.,27.2330,-82.2360,61,0.7922,,
TXSN,Stanton,32.0833,-101.7000,58,2.0714,,
NYBR,L.I.: Brooklyn,40.6160,-73.9448,56,0.5490,,
MXSB,"San Blas, Nayarit, Mexico",21.5499,-105.1902,55,1.8033,,
FLSC,Sanibel-Captiva,26.4594,-82.1567,52,0.0000,,
AL0E,Guntersville,34.3833,-86.2833,49,1.0889,,
WASD,Sequim-Dungeness,48.1000,-123.0667,48,0.7619,,
ORCO,Corvallis,44.5071,-123.2695,47,0.3787,,
IDHV,Hagerman Valley,42.8167,-114.9000,46,2.5556,,
AZEL,Elfrida,31.6667,-109.6833,46,0.6970,,
MXPP,"Puerto Penasco, Sonora, Mexico",31.3501,-113.5167,46,1.5333,,
AL0S,Mobile,30.6667,-88.0667,45,1.0896,,
BCLA,Ladner,49.0538,-123.0573,44,0.3088,,
CAST,Stockton,38.1160,-121.3954,44,0.8462,,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,43,0.3308,,
TXNA,Nacogdoches,31.5332,-94.6563,41,0.5062,,
ORCB,Coos Bay,43.3759,-124.2973,37,0.3324,,
ARLO,Lonoke,34.7490,-91.8957,35,0.7000,,
TXAZ,Anzalduas-Bentsen,26.2235,-98.3944,35,0.4861,,
MXGF,"Gomez Farias, Tamaulipas, Mexico",23.1118,-99.1816,35,0.3535,,
ALFM,Fort Morgan,30.2333,-87.9000,35,0.7865,,
TXBA,Balmorhea,30.9858,-103.7459,35,1.8421,,
CASR,Santa Rosa,38.4379,-122.7116,34,0.3049,,
CAAA,Auburn,38.9758,-121.1438,34,0.8019,,
BC0G,Kelowna,49.8833,-119.4833,34,0.7083,,
MXEL,"El Naranjo, San Luis Potosi, Mexico",22.5000,-99.4000,32,0.2535,,
CACS,Crystal Springs,37.5184,-122.3751,31,0.1751,,
OKSP,Salt Plains N.W.R.,36.7850,-98.1789,31,2.0667,,
CODE,Denver,39.5870,-105.1430,31,0.1276,,
OKTU,Tulsa,36.3221,-95.9022,30,0.2580,,
LA0P,New Orleans,29.9667,-89.9833,30,0.3261,,
GAGC,Glynn County,31.1128,-81.4261,29,0.2613,,
LA0D,Venice,29.3000,-89.3833,28,0.8589,,
WATC,Tri-Cities,46.2357,-119.1805,28,0.3718,,
FLSM,St. Marks,30.1536,-84.2227,28,0.3500,,
UTFS,Fish Springs N.W.R.,39.8107,-113.3990,28,0.7000,,
CALL,Lost Lake-Fresno,36.9500,-119.7000,27,0.2298,,
WAPT,Port Townsend,48.0500,-122.7333,26,0.4643,,
HIWO,O'ahu: Waipi'o,21.4618,-158.0128,26,0.7324,,
NYCS,L.I.: Central Suffolk County,40.8333,-72.7838,25,0.1238,,
ORUC,Union County,45.2500,-117.8833,25,0.9615,,
FLLA,Lakeland,28.0261,-81.8507,24,0.2308,,
ORDA,Dallas,44.8965,-123.3384,24,0.3288,,
BCCH,Chilliwack,49.1113,-121.9436,24,0.3529,,
UTSL,Salt Lake City,40.7695,-111.8884,24,0.4138,,
ONHA,Hamilton,43.2679,-79.8852,24,0.1437,,
CAML,Mono Lake,37.9561,-119.1201,23,0.4694,,
TXAB,Abilene,32.3501,-99.7502,23,0.7302,,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,22,0.2222,,
TX0T,Buffalo Lake N.W.R.,34.8667,-102.1333,22,0.9167,,
FLCO,Cocoa,28.3622,-80.7026,22,0.1618,,
KY0N,Henderson,37.8000,-87.5333,22,0.6286,,
AZ11,Nogales,31.3833,-110.9167,21,0.1448,,
AZ0L,Phoenix,33.4833,-112.2500,21,0.1350,,
ARAR,Arkadelphia,34.1333,-93.0500,20,0.2632,,
ARWR,White River N.W.R.,34.3146,-91.1210,20,0.7018,,
FLCK,Cedar Key,29.1942,-83.0149,20,0.4167,,
FL15,Orlando,28.5333,-81.3833,19,0.1352,,
NVHE,Henderson,36.0833,-114.9500,19,0.5278,,
WAEA,East Lake Washington,47.5899,-121.9995,18,0.9000,,
TXLL,Lake Livingston (lower),30.7167,-95.0833,18,0.4138,,
FLCE,Coot Bay-Everglades N.P.,25.1410,-80.9582,18,0.1698,,
CAPP,Palos Verdes Peninsula,33.7723,-118.3279,18,0.1456,,
VABB,Back Bay N.W.R.,36.6500,-76.0000,18,0.1593,,
TXFW,Fort Worth,32.7661,-97.4715,18,0.2174,,
BCNN,Nanaimo,49.1668,-123.9333,16,0.3077,,
WA0M,Everett,48.1500,-122.2333,16,0.3556,,
NYSN,L.I.: Southern Nassau County,40.6298,-73.5907,16,0.0773,,
CAOR,Oroville,39.5178,-121.5499,15,0.3074,,
COPR,Pueblo Reservoir,38.2354,-104.7857,15,0.4412,,
NJHR,Hackensack-Ridgewood,40.9351,-74.0292,15,0.1648,,
ORPD,Portland,45.5167,-122.7000,15,0.1429,,
CALR,Lake Almanor,40.2833,-121.2500,13,0.3095,,
WABG,Bellingham,48.8112,-122.5629,13,0.1024,,
TX06,Colorado City,32.2833,-100.8833,12,0.7500,,
NMLV,Las Vegas,35.5950,-105.2152,12,1.2000,,
CASV,San Fernando Valley,34.2358,-118.5025,12,0.2526,,
TXLV,Lewisville,33.0301,-96.9929,12,0.1702,,
FL13,New Port Richey,28.2500,-82.7000,12,0.1739,,
PALZ,Lititz,40.2261,-76.3024,12,0.1538,,
MS09,Noxubee N.W.R.,33.2833,-88.7833,11,0.2157,,
CAFO,Folsom,38.6618,-121.0974,11,0.0629,,
OKTI,Tishomingo N.W.R.,34.1833,-96.6500,11,0.4783,,
TXAM,Amarillo,34.9851,-101.7021,11,0.3793,,
CAMU,Malibu,34.0822,-118.7045,11,0.0601,,
SCCA,Charleston,32.9333,-79.7000,10,0.1575,,
TX23,Palmetto S.P.,29.6000,-97.5833,10,0.1198,,
CAAG,Angwin,38.5715,-122.3977,10,0.1724,,
CAGM,Grass Mountain,34.6333,-118.4167,10,0.5000,,
VALC,Little Creek,36.8508,-76.0994,9,0.0720,,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,9,0.2045,,
NJLB,Long Branch,40.2502,-74.0554,9,0.0957,,
MSSL,Sardis Lake,34.4700,-89.7222,9,0.1875,,
COPU,Pueblo,38.1753,-104.5196,8,0.3137,,
NJLA,Lakehurst,40.0159,-74.1451,7,0.0583,,
TXTR,Trinidad,32.1500,-96.1000,7,0.8750,,
ORTB,Tillamook Bay,45.5167,-123.8833,7,0.1120,,
TXFD,Falcon Dam and S.P.,26.4967,-99.0884,7,0.1667,,
IDNA,Nampa,43.5680,-116.6729,6,0.1101,,
CO0R,San Luis Valley,37.4333,-105.8000,6,0.5000,,
TX2D,Sabine Lake,30.0167,-93.8500,6,0.1364,,
DCDC,Washington,38.8674,-77.0685,6,0.0219,,
CARE,Redding,40.6194,-122.4458,6,0.1364,,
LA05,Monroe,32.5667,-91.9667,6,0.4286,,
OKSV,Spavinaw,36.4000,-94.9501,6,0.1579,,
MA2T,Newburyport,42.7167,-70.9000,6,0.0876,,
ORPO,Port Orford,42.8196,-124.4828,6,0.1132,,
PASL,Southern Lancaster County,39.8172,-76.1698,5,0.0340,,
OKWM,Wichita Mountains Wildlife Refuge,34.7333,-98.6667,5,0.0893,,
NCMC,Morehead City,34.7590,-76.7094,5,0.0588,,
INLA,Lafayette,40.4605,-86.9157,5,0.0450,,
OKSC,Stephens County,34.5667,-97.7833,5,0.1010,,
ORMA,Malheur N.W.R.,42.8998,-118.8798,5,0.1316,,
TXBS,Big Spring,32.2391,-101.4162,5,0.1235,,
TX2V,Davis Mountains,30.6833,-103.9000,5,0.1488,,
VANN,Newport News,37.0799,-76.3956,5,0.0725,,
VACC,Cape Charles,37.1899,-75.9410,4,0.0216,,
CA2F,Mount Shasta,41.4667,-122.3500,4,0.0707,,
MOML,Montrose Lake Wildlife Area,38.2521,-93.8217,4,0.0571,,
LANA,Natchitoches,31.8240,-93.0635,4,0.1538,,
MOKC,Kansas City,38.9488,-94.4049,4,0.0458,,
NMLA,Lakes Avalon-Brantley,32.5661,-104.2940,4,0.1176,,
CTNH,New Haven,41.3007,-72.9323,4,0.0184,,
OR04,Sod House,43.2000,-118.9167,4,0.1176,,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,4,0.0741,,
OK0Q,Stillwater,36.1000,-97.1667,4,0.0645,,
AZ0H,Gila River,33.3000,-112.7333,4,0.3810,,
BCCO,Comox,49.6726,-124.9287,4,0.0351,,
TXTE,Texarkana,33.2784,-94.2082,4,0.0920,,
GAAU,Augusta,33.4393,-82.0239,4,0.1143,,
LABR,Baton Rouge,30.3661,-91.1194,4,0.0650,,
CASC,Santa Cruz County,37.0162,-122.0499,3,0.0213,,
OKWA,Washita N.W.R.,35.6495,-99.2797,3,0.1250,,
TNHI,Hiwassee,35.3655,-84.9200,3,0.0526,,
BCWR,White Rock,49.0674,-122.7167,3,0.0217,,
CALH,Lake Henshaw,33.2112,-116.7255,3,0.0282,,
CAKR,Kern River Valley,35.6625,-118.4588,3,0.0309,,
CASL,San Jacinto Lake,33.8745,-117.1239,3,0.3750,,
PALB,Southern Bucks County,40.1765,-74.8971,3,0.0341,,
IDRU,Rupert,42.6167,-113.6500,3,0.2727,,
TXNB,New Braunfels,29.7000,-98.1167,3,0.1111,,
MXRC,"Rio Corona, Tamaulipas, Mexico",23.9333,-98.9333,3,0.1071,,
NYMK,L.I.: Montauk,41.0500,-72.0000,3,0.0217,,
MOMI,Mingo N.W.R.,36.9833,-90.2000,3,0.0750,,
MTBL,Billings,45.8167,-108.4333,3,0.0411,,
LAGI,Grand Isle,29.1996,-90.0458,2,0.0444,,
VAHO,Hopewell,37.3670,-77.2842,2,0.0179,,
GAHN,Harris Neck N.W.R.,31.6837,-81.2940,2,0.0541,,
DERE,Rehoboth,38.6035,-75.1073,2,0.0179,,
OKRC,Rogers County,36.3722,-95.6326,2,0.0667,,
KYDA,Danville,37.6463,-84.7733,2,0.0388,,
VARC,Rockingham County,38.4318,-79.0394,2,0.0292,,
AZ16,Green Valley-Madera Canyon,31.8000,-110.9000,2,0.0163,,
VAGS,Glade Spring,36.7883,-81.7787,2,0.0412,,
ALGS,Gulf Shores,30.3167,-87.6333,2,0.0191,,
COBR,Bonny Reservoir,39.6307,-102.1845,2,0.0400,,
TNCH,Chattanooga,35.1040,-85.2292,2,0.0276,,
NVRL,Ruby Lake,40.2000,-115.5000,2,0.0909,,
