Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CACW,Caswell-Westley,37.6061,-121.174,41083,608.637,2004,
CALS,Los Ba–os,37.0612,-120.8849,20130,264.8684,2004,
CASS,Salton Sea (south),33.1579,-115.6132,13661,157.023,2004,
CASM,Sacramento,38.6,-121.55,9657,89.4167,2004,
CASL,San Jacinto Lake,33.8745,-117.1239,6768,114.7119,2004,
CAHF,Hayward-Fremont,37.6068,-122.0667,6000,19.6721,2004,
MSSI,Sidon,33.3624,-90.2479,5423,195.4234,2004,
CAPV,Peace Valley,39.1982,-121.8219,5184,64.3975,2004,
CABE,Benicia,38.1143,-122.1094,4778,28.0235,2004,
CALN,Lancaster,34.7043,-118.086,4518,51.931,2004,
CABA,Bakersfield,35.4311,-118.9173,4405,68.8281,2004,
CAPA,Palo Alto,37.4064,-122.1559,3652,15.4746,2004,
CASJ,San Jose,37.4033,-121.8821,2907,13.4583,2004,
CAMF,Milburn-Fresno,36.7788,-119.935,2852,132.6512,2004,
CATO,Thousand Oaks,34.1489,-118.9699,2584,22.228,2004,
TXBP,Bolivar Peninsula,29.5504,-94.4668,2554,31.925,2004,
COBL,Barr Lake,39.9721,-104.6955,2546,49.9216,2004,
CAAR,Arcata,40.8653,-124.1565,2230,12.0054,2004,
CACC,Contra Costa County,37.9538,-121.9923,2206,24.2418,2004,
CODV,Denver (urban),39.7347,-104.8753,2142,14.8492,2004,
TXCY,Cypress Creek,29.9561,-95.89,2105,17.7637,2004,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,1913,12.5855,2004,
CAST,Stockton,38.116,-121.3954,1867,12.9878,2004,
CARS,Rancho Santa Fe,33.0003,-117.1628,1714,15.5113,2004,
ORSI,Sauvie Island,45.7562,-122.8008,1610,15.3333,2004,
WAML,Moses Lake,47.1381,-119.3214,1589,33.1042,2004,
CAOC,Orange County (coastal),33.6725,-117.9453,1496,4.2958,2004,
TXAU,Austin,30.1834,-97.698,1484,6.6102,2004,
CACB,Centerville Beach to King Salmon,40.642,-124.2428,1477,6.2321,2004,
LACL,Cheneyville-Lecompte,31.1,-92.3667,1418,30.6595,2004,
CACH,China Lake,35.6518,-117.7056,1412,29.5707,2004,
TXMN,McNary,31.2682,-105.7871,1346,43.4194,2004,
CARC,Rio Cosumnes,38.3505,-121.4175,1329,8.2291,2004,
LACA,Catahoula N.W.R.,31.508,-92.0589,1220,19.3651,2004,
NVHE,Henderson,36.0833,-114.95,1217,33.8056,2004,
CAMA,Marysville,39.2,-121.5,1205,16.4505,2004,
TXLU,Lubbock County,33.5849,-101.7925,1173,17,2004,
GASV,"Savannah, GA-SC",32.0842,-81.0667,1135,6.5988,2004,
CAOV,Oceanside-Vista-Carlsbad,33.1903,-117.2796,1072,7.6846,2004,
TXFR,Freeport,29.0172,-95.3551,1040,3.5284,2004,
TXHO,Houston,29.7497,-94.9492,1018,15.366,2004,
AZPR,Prescott,34.5419,-112.4701,1012,5.75,2004,
CADM,Diamond Valley,33.627,-117.018,1008,112,2004,
MXMC,"Mexico City, Distrito Federal, Mexico",19.2333,-99.1833,972,30.375,2004,
MSWC,Washington County (south),33.097,-90.9857,963,18.699,2004,
ORKF,Klamath Falls,42.1595,-121.7351,923,14.4219,2004,
CAMR,Morro Bay,35.3,-120.7767,916,3.3926,2004,
TXGA,Galveston,29.3333,-94.8333,906,6.7865,2004,
ORCO,Corvallis,44.5071,-123.2695,904,6.2887,2004,
MOSC,Loess Bluffs (formerly Squaw Creek) N.W.R.,40.0833,-95.2667,828,16.7273,2004,
FLAL,Alafia Banks,27.792,-82.3349,825,16.0194,2004,
CODE,Denver,39.587,-105.143,785,3.9447,2004,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,777,8.1361,2004,
CATL,Tule Lake,41.9465,-121.539,772,20.8649,2004,
ARPB,Pine Bluff,34.2295,-92.0033,763,14.8878,2004,
WASB,Skagit Bay,48.2973,-122.3879,763,13.5644,2004,
ORDA,Dallas,44.8965,-123.3384,761,11.8906,2004,
ARLO,Lonoke,34.749,-91.8957,757,11.2985,2004,
MSGR,Grenada,33.8051,-89.7016,754,23.0229,2004,
CORO,Rocky Ford,38.1326,-103.679,736,35.0476,2004,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,673,14.0208,2004,
AZHV,Havasu N.W.R.,34.4525,-114.3107,665,13.1683,2004,
AZTV,Tucson Valley,32.3016,-110.9735,659,4.7581,2004,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,657,3.2605,2004,
CASD,San Diego,32.6473,-117.117,649,3.1315,2004,
LACW,Crowley,30.1107,-92.3619,647,16.6968,2004,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,644,1.6947,2004,
CAOR,Oroville,39.5178,-121.5499,616,18.9538,2004,
TXDA,Dallas County,32.8258,-96.8312,615,4.8713,2004,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,580,5.0325,2004,
NYBR,L.I.: Brooklyn,40.616,-73.9448,534,59.3333,2004,
CALU,La Purisima,34.6616,-120.5368,512,6.8267,2004,
TXLH,Lake Houston,29.94,-95.18,507,12.8354,2004,
CASG,Santa Maria-Guadalupe,34.8833,-120.5833,475,12.3377,2004,
UTPR,Provo,40.2526,-111.6688,455,3.2327,2004,
NCMA,Mattamuskeet N.W.R.,35.45,-76.1333,440,6.2857,2004,
AZGV,Green Valley-Madera Canyon,31.7923,-110.9151,434,2.5719,2004,
TXCC,Corpus Christi,27.8334,-97.5833,428,3.7056,2004,
WATC,Tri-Cities,46.2357,-119.1805,426,3.8036,2004,
MSHA,Hattiesburg,31.3073,-89.3166,420,11.0526,2004,
WIMA,Madison,43.0747,-89.3843,418,1.8744,2004,
NMRO,Roswell,33.397,-104.3983,393,8.6374,2004,
NCBP,Bodie-Pea Island,35.7824,-75.5458,386,6.6552,2004,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,385,4.7975,2004,
SCAB,Ace Basin,32.6126,-80.4813,384,51.2,2004,
VACI,Chincoteague N.W.R.,37.9672,-75.3669,378,4.1087,2004,
MSAL,Arkabutla Lake,34.7624,-90.1306,377,11.7813,2004,
ARWA,Wapanocca N.W.R.,35.35,-90.2333,376,6.4274,2004,
CASA,Santa Ana River Valley,33.9068,-117.4889,374,11.873,2004,
ILCY,Cypress Creek,37.319,-89.0213,371,3.9156,2004,
WATA,Tacoma,47.2335,-122.5167,369,2.5017,2004,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,368,17.5238,2004,
WASA,Satsop,46.9834,-123.7167,358,4.1032,2004,
NVTM,Truckee Meadows,39.4679,-119.8205,353,3.7553,2004,
NCWC,Wayne County,35.3239,-77.9845,342,7.7288,2004,
WAEV,Everett-Marysville,48.0833,-122.2167,338,2.7094,2004,
TXWS,Weslaco,26.1507,-97.9421,335,3.6612,2004,
MSJC,Jackson County,30.4366,-88.7119,326,4.4354,2004,
COLV,Loveland,40.4077,-105.1653,325,3.8123,2004,
TXSR,Sea Rim S.P.,29.7334,-93.9563,324,3.6404,2004,
ORFG,Forest Grove,45.4851,-123.1269,318,5.129,2004,
COCS,Colorado Springs,38.8022,-104.8167,315,2.8507,2004,
VANR,Nansemond River,36.8472,-76.4333,311,4.5072,2004,
ORME,Medford,42.4026,-122.8559,302,3.4124,2004,
ALEU,Eufaula N.W.R.,31.9939,-85.0886,300,10.7143,2004,
CAES,Escondido,33.1025,-116.9403,296,2.6909,2004,
MXCR,"Colorado River Delta, Sonora, Mexico",31.5503,-114.5203,293,12.7391,2004,
TXHG,Harlingen,26.177,-97.6813,292,4.1714,2004,
MOCO,Columbia,38.8915,-92.3348,288,2.1373,2004,
SCMC,McClellanville,33.1003,-79.4037,284,4.9391,2004,
CALB,Long Beach-el Dorado,33.8533,-118.0908,282,1.8077,2004,
TXAR,Aransas N.W.R.,28.2333,-96.8833,278,3.7191,2004,
CAMD,Moss Landing,36.897,-121.7407,277,1.159,2004,
MDLK,Lower Kent County,39.1427,-76.1921,275,3.3333,2004,
TXDR,Del Rio,29.4651,-100.9585,269,5.2745,2004,
CACM,Claremont,34.1384,-117.7073,262,2.1301,2004,
CAOA,Oakland,37.8146,-122.233,262,0.6658,2004,
TXMI,Midland,31.95,-102.0333,261,3.3143,2004,
AZAV,Avra Valley,32.2501,-111.25,260,5.0732,2004,
LABC,Bossier-Caddo-Bienville,32.2932,-93.5026,259,3.0651,2004,
TXKI,Kingsville,27.4658,-97.8551,258,5.0341,2004,
WAKA,Kent-Auburn,47.3598,-122.1787,252,1.3884,2004,
WASD,Sequim-Dungeness,48.1,-123.0667,251,0.9535,2004,
CAMJ,Mojave River Valley,34.5071,-117.2689,251,3.8915,2004,
WABG,Bellingham,48.8112,-122.5629,250,1.3089,2004,
CASR,Santa Rosa,38.4379,-122.7116,242,1.5268,2004,
TXFW,Fort Worth,32.7661,-97.4715,240,1.6696,2004,
WAOL,Olympia,47.0722,-122.8533,240,1.0323,2004,
CAPS,Pasadena-San Gabriel Valley,34.1199,-118.0913,239,1.8856,2004,
HIIA,Maui: I'ao Valley,20.9333,-156.5333,238,11.9,2004,
AZTI,Timber Mesa,34.2089,-109.9582,231,12.1579,2004,
LACR,Creole,29.8159,-93.1113,231,6.16,2004,
AZFL,Flagstaff-Mt. Elden,35.241,-111.5976,227,6.8788,2004,
MXPP,"Puerto Penasco, Sonora, Mexico",31.3501,-113.5167,225,4.6875,2004,
TXGF,Guadalupe River Delta-McFaddin Family Ranches,28.533,-96.8635,223,1.4003,2004,
UTSR,Silver Reef,37.2531,-113.3675,221,3.2029,2004,
TXSA,Santa Ana N.W.R.,26.1492,-98.1917,219,2.2577,2004,
OREU,Eugene,44.0768,-123.179,212,1.1632,2004,
NJLH,Lower Hudson,40.7751,-74.0009,210,1.6279,2004,
CAON,Orange County (northeastern),33.7145,-117.6776,209,0.7085,2004,
ARAR,Arkadelphia,34.1333,-93.05,205,2.2778,2004,
NMLA,Lakes Avalon-Brantley,32.5661,-104.294,205,7.5926,2004,
WAKC,Kitsap County,47.6323,-122.6609,204,3.6429,2004,
DEBH,Bombay Hook N.W.R.,39.2152,-75.4822,203,1.9566,2004,
TXEP,El Paso,31.7828,-106.4798,201,4,2004,
MOBO,Big Oak Tree S.P.,36.6667,-89.2667,200,6.6667,2004,
FLJA,Jacksonville,30.4152,-81.4877,200,1.2618,2004,
MSEL,Eagle Lake,32.5458,-90.58,200,5.9259,2004,
BCDU,Duncan,48.7882,-123.6714,198,1.4322,2004,
ORCE,Columbia Estuary,46.2192,-123.9461,196,2.5128,2004,
TXWA,Waco,31.5194,-97.0451,196,3.6981,2004,
AZNO,Nogales,31.4338,-110.9358,196,2.6486,2004,
TXRO,Rockport,28.0669,-97.1167,192,2.7826,2004,
AZMY,Martinez Lake-Yuma,32.8884,-114.4623,189,1.9091,2004,
NMLV,Las Vegas,35.595,-105.2152,185,9.25,2004,
TXLD,Laredo,27.5,-99.4167,185,3.0328,2004,
TXCR,Crawford,31.556,-97.3556,181,3.094,2004,
COFC,Fort Collins,40.6454,-105.1141,180,1.3767,2004,
CAEL,Eagle Lake,40.6299,-120.7518,177,2.0824,2004,
CACS,Crystal Springs,37.5184,-122.3751,176,0.7221,2004,
CASB,Santa Barbara,34.4512,-119.7627,158,0.5623,2004,
TXBS,Big Spring,32.2391,-101.4162,158,6.7234,2004,
UTBR,Bear River Migratory Bird Refuge,41.4804,-112.2675,154,11.6226,2004,
ORTB,Tillamook Bay,45.5167,-123.8833,151,1.2961,2004,
IACL,Clinton,41.9801,-90.174,150,4.1096,2004,
FLMI,Merritt Island N.W.R.,28.6171,-80.6815,150,1.0204,2004,
CAPP,Palos Verdes Peninsula,33.7723,-118.3279,146,0.9966,2004,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,143,2.6854,2004,
BCPM,Pitt Meadows,49.2839,-122.6729,142,0.6201,2004,
MDOC,Ocean City,38.3128,-75.2122,141,0.6543,2004,
TXSG,San Angelo,31.4439,-100.4823,141,1.7354,2004,
TNME,Memphis,35.15,-89.9333,141,2.9072,2004,
TNRL,Reelfoot Lake,36.4167,-89.3833,140,2.6667,2004,
LANO,New Orleans,30.0236,-89.9167,136,1.5768,2004,
LANA,Natchitoches,31.824,-93.0635,133,2.6078,2004,
NMFA,Farmington,36.7833,-108.102,133,3.619,2004,
LASA,Sabine N.W.R.,29.8545,-93.3892,132,1.3968,2004,
OKTU,Tulsa,36.3221,-95.9022,132,1.1186,2004,
COBO,Boulder,40.0256,-105.2725,130,0.4643,2004,
MOMI,Mingo N.W.R.,36.9833,-90.2,126,2.4348,2004,
CAMC,Marin County (southern),37.9214,-122.5643,125,0.4448,2004,
UTSL,Salt Lake City,40.7695,-111.8884,125,1.2531,2004,
BCLA,Ladner,49.0538,-123.0573,125,0.7123,2004,
TXLV,Lewisville,33.0301,-96.9929,123,2.0331,2004,
UTZI,Zion N.P.,37.2093,-112.9804,122,0.5293,2004,
GAAU,Augusta,33.4393,-82.0239,122,1.6542,2004,
NMMA,Maxwell N.W.R.,36.5954,-104.6499,116,4.7347,2004,
