Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
CAST,Stockton,38.116,-121.3954,21999,146.66,1992,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,12000,545.4545,1992,
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,11890,250.3158,1992,
NMRO,Roswell,33.397,-104.3983,5575,66.369,1992,
TXBS,Big Spring,32.2391,-101.4162,4000,100,1992,
FLGA,Gainesville,29.6027,-82.3127,3423,15.7199,1992,
CACP,Carrizo Plain,35.25,-119.85,2900,98.3051,1992,
KSQU,Quivira N.W.R.,38.15,-98.4833,2655,118,1992,
OKSP,Salt Plains N.W.R.,36.785,-98.1789,1812,16.4727,1992,
CACW,Caswell-Westley,37.6061,-121.174,1568,30.1538,1992,
TXCC,Corpus Christi,27.8334,-97.5833,1328,10.7097,1992,
FLLP,Lake Placid,27.2601,-81.3441,1100,8.0292,1992,
TXLA,Laguna Atascosa N.W.R.,26.2391,-97.3814,1096,11.5979,1992,
TXMI,Midland,31.95,-102.0333,1005,15.4615,1992,
FLKV,Kissimmee Valley,28.2062,-81.3936,873,14.4298,1992,
TXBZ,Brazos Bend,29.3734,-95.6688,838,10.0964,1992,
CACO,Chico,39.722,-121.8238,642,8.0755,1992,
TNHI,Hiwassee,35.3655,-84.92,624,12,1992,
TXCY,Cypress Creek,29.9561,-95.89,474,5.9623,1992,
NMCA,Caballo,32.953,-107.3122,435,8.0184,1992,
TXVI,Victoria,28.8723,-97.0784,417,6,1992,
TXAR,Aransas N.W.R.,28.2333,-96.8833,410,6.56,1992,
TXFR,Freeport,29.0172,-95.3551,368,0.9646,1992,
TXCK,Choke Canyon,28.4913,-98.3082,365,14.0385,1992,
CAPV,Peace Valley,39.1982,-121.8219,322,3.7442,1992,
FLME,Melrose,29.748,-81.9929,307,5.386,1992,
TXSB,San Bernard N.W.R.,28.8667,-95.5667,297,1.4348,1992,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,278,1.7484,1992,
TXWW,Welder Wildlife Refuge,28.1136,-97.4171,266,5.9111,1992,
TXLS,La Sal Vieja,26.4849,-97.9649,216,3.1304,1992,
FLMR,Myakka River S.P.,27.233,-82.236,207,2.875,1992,
TXCF,Corpus Christi (Flour Bluff),27.6584,-97.2938,205,1.8222,1992,
NMGR,Gila River,32.9152,-108.584,203,6.1515,1992,
FLEP,East Pasco,28.3103,-82.2374,202,4.5909,1992,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,193,1.6253,1992,
ORSI,Sauvie Island,45.7562,-122.8008,189,2.52,1992,
NMAL,Albuquerque,35.1833,-106.6167,187,2.2,1992,
TXKI,Kingsville,27.4658,-97.8551,185,2.6812,1992,
FLLW,Lake Wales,27.8939,-81.5189,144,0.6682,1992,
GAOK,Okefenokee N.W.R.,30.8001,-82.1333,126,2.3442,1992,
FLCO,Cocoa,28.3622,-80.7026,116,0.7838,1992,
INEC,Eagle Creek Valley,39.9269,-86.3383,100,3.125,1992,
TXUC,Uvalde County,29.2096,-99.7862,98,4.4545,1992,
TXCS,College Station,30.593,-96.3175,87,0.8946,1992,
CALS,Los Baños,37.0612,-120.8849,78,0.9231,1992,
TXPA,Port Aransas,27.8502,-97.1,64,0.5792,1992,
FLEC,Econlockhatchee,28.7094,-81.1467,64,0.4354,1992,
FLWV,West Volusia County,29.0543,-81.3039,62,0.8611,1992,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,53,0.726,1992,
MSJC,Jackson County,30.4366,-88.7119,52,0.8889,1992,
FLAB,Aripeka-Bayport,28.4667,-82.5833,50,1.1111,1992,
TXAY,Armand Bayou,29.5498,-95.0489,44,0.352,1992,
FLBO,Brooksville,28.548,-82.3245,43,0.4343,1992,
FLNR,West Pasco (New Port Richey),28.2604,-82.6949,37,0.74,1992,
OHWH,Western Hamilton County,39.2065,-84.6361,37,0.3957,1992,
GAAL,Atlanta,33.9667,-84.6667,37,0.2913,1992,
FLVE,Venice-Englewood,27.0048,-82.3793,31,0.2672,1992,
FL0V,South Brevard County,27.8667,-80.5667,25,0.2475,1992,
AZJE,Jerome,34.7398,-112.1238,25,0.5,1992,
TXGA,Galveston,29.3333,-94.8333,25,0.1597,1992,
FLSR,Sarasota,27.2841,-82.4976,21,0.1927,1992,
FLPR,Peace River,26.9243,-82.0474,18,0.1233,1992,
INTH,Terre Haute,39.4165,-87.407,18,0.2432,1992,
FLHC,Hamilton County,30.336,-82.7595,16,0.2795,1992,
FLWP,West Palm Beach,26.5672,-80.127,14,0.1386,1992,
CALW,LaGrange-Waterford,37.6531,-120.5876,14,0.2014,1992,
ALGS,Gulf Shores,30.3167,-87.6333,13,0.0813,1992,
FLLA,Lakeland,28.0261,-81.8507,11,0.0791,1992,
FLST,Stuart,27.2121,-80.2624,10,0.0649,1992,
