Code,Name,Latitude,Longitude,No_Observed,Number_By_Party_Hours,year,Editor_Comments
OKSP,Salt Plains N.W.R.,36.785,-98.1789,50750,1318.1818,2017,
CAST,Stockton,38.116,-121.3954,18843,172.7923,2017,
TNHI,Hiwassee,35.3655,-84.92,10773,347.5161,2017,
NMRO,Roswell,33.397,-104.3983,8911,177.4393,2017,
ALWH,Wheeler N.W.R.,34.6001,-86.8837,8213,119.8978,2017,
KYGL,Glasgow,36.9956,-85.9127,7500,1048.951,2017,
CAPX,Pixley N.W.R.,35.9133,-119.3922,7060,371.5789,2017,
FLGA,Gainesville,29.6027,-82.3127,6000,20.4325,2017,
TXMU,Muleshoe N.W.R.,33.9563,-102.7783,5500,305.5556,2017,
NMCA,Caballo,32.953,-107.3122,5284,97.4009,2017,
TXCC,Corpus Christi,27.8334,-97.5833,5226,54.7225,2017,ph
NMBD,Bosque del Apache N.W.R.,33.8051,-106.8907,4800,84.5815,2017,
NMVO,Valle de Oro N.W.R.,34.964,-106.6761,4391,64.2899,2017,
ORSI,Sauvie Island,45.7562,-122.8008,3802,34.1385,2017,
INWH,Whitewater S.P.,39.5909,-84.9936,3289,92.6479,2017,
KSRH,Red Hills,37.13,-98.42,2084,57.0959,2017,
KYBR,Barren River Lake,36.933,-86.1705,1834,28,2017,
KYBR,Barren River Lake,36.933,-86.1705,1834,28,2017,
TXCY,Cypress Creek,29.9561,-95.89,1814,14.3649,2017,
TXMM,Matagorda County-Mad Island Marsh,28.6833,-95.9833,1752,5.3718,2017,ph
INGP,Goose Pond,38.9678,-87.1864,1742,18.0987,2017,
KYHC,Hart County,37.2835,-85.838,1700,113.3333,2017,
TXVI,Victoria,28.8723,-97.0784,1684,24.5839,2017,ph
TXJC,Jackson-Calhoun Counties,28.7232,-96.4981,1652,15.0182,2017,
ONLP,Long Point,42.6211,-80.3908,1523,10.7367,2017,
CARC,Rio Cosumnes,38.3505,-121.4175,1477,7.3519,2017,
CODL,Delta,38.7714,-108.0394,1378,46.3193,2017,
LASC,Sweet Lake-Cameron Prairie N.W.R.,30.0373,-93.0875,1317,22.825,2017,
KSQU,Quivira N.W.R.,38.15,-98.4833,1150,23.9583,2017,
UTOR,Ouray N.W.R.,40.1123,-109.3533,1139,27.2488,2017,
NMAL,Albuquerque,35.1833,-106.6167,1105,9.0529,2017,
CACW,Caswell-Westley,37.6061,-121.174,1061,20.4038,2017,
GADA,Dalton,34.7667,-84.9667,1043,27.5198,2017,
FLME,Melrose,29.748,-81.9929,1000,9.7324,2017,
TXAP,Attwater Prairie Chicken N.W.R.,29.6344,-96.3667,949,7.3214,2017,
TXNB,New Braunfels,29.7,-98.1167,943,19.7694,2017,
GAAL,Atlanta,33.9667,-84.6667,941,8.8648,2017,
FLKV,Kissimmee Valley,28.2062,-81.3936,900,5.8728,2017,
FLLC,Lake City,30.1894,-82.6371,850,11.3712,2017,
OKAN,Arnett,36.0569,-99.8103,833,46.2778,2017,
TXMW,Matador Wildlife Management,34.05,-100.2,812,19.3333,2017,
TXBZ,Brazos Bend,29.3734,-95.6688,710,8,2017,
TXKI,Kingsville,27.4658,-97.8551,694,11.377,2017,
UTSL,Salt Lake City,40.7695,-111.8884,590,5.9723,2017,
INMT,Muscatatuck N.W.R.,38.9594,-85.7983,521,19.6604,2017,
MIDO,Dowagiac,41.9667,-86.0833,504,24,2017,
MIWA,Waterloo State Recreation Area,42.3245,-84.2097,503,6.4487,2017,
FLLP,Lake Placid,27.2601,-81.3441,480,5.6805,2017,
TXUC,Uvalde County,29.2096,-99.7862,421,9.5791,2017,
TXBR,Brazoria-Columbia Bottomlands,29.1521,-95.5657,419,3.8091,2017,
TXAR,Aransas N.W.R.,28.2333,-96.8833,397,3.4447,2017,
TXBS,Big Spring,32.2391,-101.4162,393,10.3421,2017,
UTPR,Provo,40.2526,-111.6688,390,3.0648,2017,
FLEM,Emeralda-Sunnyhill,28.85,-81.8501,375,3.3632,2017,
FLLA,Lakeland,28.0261,-81.8507,370,2.381,2017,
INLM,Lake Monroe,39.0152,-86.3984,365,3.812,2017,
TXCT,Coastal Tip,26.0278,-97.2334,362,4.7013,2017,
GAAB,Albany,31.4333,-84.4167,354,7.3065,2017,
FLEP,East Pasco,28.3103,-82.2374,350,7.7778,2017,
FLCL,Clermont,28.5404,-81.7651,350,3.3654,2017,
FLBO,Brooksville,28.548,-82.3245,350,4.2042,2017,
